	2562
Chang-Yu Wang	114276
Nathan A. Call	74550
Kai Y. Eng	140288
Murat F. Karsi	158775
Lars Büsing	68873
Jules Desharnais	124292
N. D'Amico	162142
Gianluigi Ciocca	4322
Maital Ashkenazi	84990
King To Ng	11862
Jie Chen	4820
Derek R. Nelson	107215
Joyce Phui Yee Siew	81547
Krista Grothoff	145203
Lemin Li	20124
János Sztrik	129117
Raffi Tonikian	99187
Neil Orchowski	72551
Arantxa Villanueva	62347
Mathew J. Goodwin	99990
Mohamed Laid Bencheikh	21531
Miquel Feixas	4511
Xueyan Tan	69542
Francisco F. Rivera	31931
Zhe Fan	24843
Meng Cao	17951
Veyis Nuri	166
Saroj Rout	47438
Adam Józwik	46196
Rabindra Gautam	49200
Peiyi Tang	155712
L. H. Clark	123092
Judith Klein-Seetharaman	79801
Vito Fragnelli	88366
Péter Schönhofen	69855
Jouni Lampinen	69219
Fanhua Shang	23049
Y. M. Kan	7469
Mounim A. El-Yacoubi	49438
Srikanth Saripalli	108155
Heitor Silvério Lopes	37663
David K. Wright	8139
Liwu Yang	109355
Philipp Weis	124633
Xue-Cheng Tai	1940
Bernhard Küster	92992
Xiang-Sun Zhang	65694
Geert Adriaens	58434
A. G. Rigas	20202
Yanina A. Zócalo	114018
Robert P. Harrison	308
Jane Wu	37739
Martin Hamilton	127778
Pedro Sánchez	150778
Yui Man Lui	1996
Philipp Weil	89028
S. Chattopadhyay	45210
R. V. Patel	41352
Tatsunori Mori	58482
Lotfi A. Zadeh	54518
Xuan-Yi Lin	153667
Jang Hyun Lee	9039
Helnye Azaria	160696
Paul F. M. J. Verschure	42285
Daeshik Lee	159489
V. Ravi	53201
Brad Davis	114574
Aaron Lanzen	80180
Radhika Vinod	139980
Adam Reeve	98703
Marta Portela-Garc��a	156479
Jack Sklansky	45124
Aurélien Cord	59076
Taijiro Doi	105308
Hendrik P. A. Lensch	10949
Qasim Sheikh	154439
Srinivas Bangalore	13432
Pierre-André Farine	38677
Raphael Yuster	115672
Yang-jin Kim	84738
Xiangyun Liao	154592
Dongmin Kim	155985
Farid G. Hatefi	135695
Jane Hancock	115316
Tushar Udeshi	27135
Richard L. M. Faull	93153
Jelena A. Stewart	82227
Maria Stela V. de Paiva	156016
M. Jedra	69221
Jonathan D. Cohen	41665
Eric D. Manley	140723
Wenzhi Song	86817
Burkhard Mädler	115002
A. Keziou	23196
Karsten Rodenacker	60184
Paris C. Kanellakis	116646
Yasutaka Furukawa	33726
Sanjay Joshua Swamidass	42615
Raisa Socorro	62226
Jaume Gibert	50713
Mingfu Li	136204
Gaurav Thareja	90386
Jan Kamenický	61126
Igor V. Tetko	42880
Qinchuan Zhang	109510
Tzu-Hsin Tsao	68188
Fatima Sanchez-Cabo	80808
S. W. Tan	135189
Jia-Yong Liu	138198
Wen-Tong Chang	10281
Edmund Knowles	31590
Min-Ho Jang	157854
Jerome A. Zack	77078
Bogdan Lipus	23832
Samantha J. Baldwin	95735
Miles E. Hansard	68970
Rudolf A. Römer	90593
Wai-Hon Lee	45873
N. W. Bressloff	67769
Salwani Abdullah	40739
Satoshi Kakuma	127628
H. Galeana-Zapien	133458
Ian Anderson	123856
Gianfranco Tarricone	97690
Filip Deleus	4593
Bingjia Shao	29727
Noriyuki Yamasaki	58363
Toru Nishigami	43787
Michele Lalla	57303
Allen Day	92989
Gregory S. Couch	98130
Wenjiang J. Fu	77869
Dan I. Moldovan	36842
Hong Liu	21862
Zhipeng Cai	83870
Jeroen de Ridder	99077
Chisu Wu	149043
Tianpeng Wang	109419
Pierre A. Devijver	44568
I-Ting Lee	131873
Christian Lemke	29324
David D. Smith	95145
Koen Vanbleu	19491
Bonifacio Llamazares	56336
Joachim L. Schultze	79004
M. Ramakrishnan	128674
Sébastien Moretti	82829
Arun Vishwanath	53282
Eunha Shim	105745
Stefan W. Christensen	34938
Frederick R. Blattner	75720
Sanyogita Shamsunder	22720
Jan Beran	160339
Georgios K. Giannikis	69921
Charles U. Martel	116503
Pierre Lavoie	22536
Luis Guijarro	137151
Matthias Siebert	137600
Paolo Bernardi	140242
Hans-Ulrich Kauczor	115541
Jay C. Dunlap	102496
Marek Kwiatkowski	106508
Laurent Bako	20725
Justen Andrews	84732
Elena I. Gaura	111768
Xavier Domont	16122
Duyan Bi	49518
Evan Gamble	39425
Bertrand Nouvel	122048
Kexin Deng	113777
Gil Whoan Chu	48268
Cenk Demiroglu	25625
Gary Demos	23486
Michael Casey	13005
Giselle Martine	55107
Zhaowu Ping	67544
Sari Tuupanen	83914
Thanasis Tsantilas	116845
Anita K. Roopun	103596
M. Borghini	128070
Stella Markantonatou	58527
Peter Baur	151386
Claudette Mariné	72268
Yacine Chakhchoukh	22149
Cornelia Setz	74285
Trilok C. Aseri	138641
Ning Xi	128782
Kunyi Luo	98176
H. Todd Wareham	70970
Ahmed Salim	31419
Sanjay Ranka	36185
Guy Pierra	26881
Kevin A. Greer	93029
Noel Cressie	45432
Erik Sandewall	124358
Lahcène Mitiche	19195
Jean-Pierre Braquelaire	23447
Abhay Karandikar	135875
Arnis Riekstins	127766
Tee Hiang Cheng	128016
Burkhard Stiller	127337
Hongzhi Liu	62640
K. Waldherr	163100
Ning Xu	11062
Abid T. Al Ajeeli	145769
Ting Ke	21788
Mea Wang	12054
S. Miyata	77886
Brad A. Myers	23985
Jeong-Dan Choi	125701
Xiliang Zheng	88834
Maurizio Valle	108913
Petr Tichavský	21213
Berkant Savas	19777
Dima Kuzmin	35949
Kristin Missal	80267
Harley R. Myler	64136
M. U. Akhmet	44099
Todd Mytkowicz	164061
Honghui Yan	109823
Oladapo Oguntoyinbo	138554
David Garlan	149682
Shannon Hastings	81244
Charles S. Roberts	74821
Changpeng Xin	109283
David E. Krebs	112649
Arthur C. Graesser	70835
Daniel Lawson	85738
Eyal Yair	43144
Alexey Kostin	59640
Kevin Sale	100964
Song-Hao Zhu	62467
Elliot R. McVeigh	74858
Hessam Khoshnevisan	148618
Mark Hauschild	36638
Merja Wanne	48770
John Hale	144954
Jorge Coelho	151142
Kaikai Chi	129613
Nicolas Anquetil	151706
Robert Fullér	55550
Wendy Lynne Gilleard	113133
Edward J. Lusk	31086
Il Memming Park	69053
Jean-Marc Lavest	33712
Shintaro Minami	101250
William S. Evans	25698
Clovis Perin	141849
Yuan Song	139650
Thomas Dueholm Hansen	123585
John Thornton	131912
Chi-Bin Cheng	52119
Can Yang	84925
G��rard Salut	159683
Andy Brass	76091
Zhiguang Feng	23071
Junshui Ma	46728
Eric Melin	135787
Athanasios Christakidis	140022
Jianxue Xu	63177
S. Pagliano	46968
Qi Ning	123181
Andreas Gehlert	27554
M. A. Amer	160744
Michael A. Howland	163710
Kamal Nigam	39525
Jonathan Yen	829
Irwin King	12868
Wen-Li Wei	13119
Branson W. Murrill	148959
Tomasz Gambin	90339
Tomomasa Sato	38035
Brigitte Berg	134985
Michael G. Strintzis	419
Barbara Priwitzer	78561
Qingbo Zhu	21271
Dibakar Sen	9799
Philip J. Bones	4198
Sasa Grbic	115511
Margaret M. McManus	42508
H. Andrés Neyem	151078
Ann L. Drapeau	28984
John N. Weinstein	84304
Robin Woodburn	71671
Rosa I. Arriaga	39127
Viacheslav Fofanov	77798
Simão Soares	103965
Edward Arthurs	160443
Mira Lee	17444
João Cesar M. Mota	18094
Bruno Lameyre	38377
Matthew J. Leotta	112791
Vicente P. Minotto	62387
Margaret Dah-Tsyr Chang	87773
Jules J. Berman	92631
Yen-Jen Chen	105517
Antoine Vacavant	11123
Travis E. Oliphant	114697
Eugene V. Pomerantsev	112390
Ben Lu	131636
Pietro Michiardi	130075
Alina Sobania	47680
R. Zachariah Aandahl	106992
Wolfgang M. Theimer	34008
Ahmed E. Kamal	126296
Kan-Min Chen	58978
Chao-Ping Yu	135252
Fabio Pietrucci	102383
Jong-Hwan Lee	65712
Viviane Folcher	71397
Ian C. Luckraft	41850
Aaron Isaacs	83600
Yi-jia Tan	56593
Luc Pellerin	106581
Katrina Falkner	144858
Lev Reyzin	35470
Justin Hogg	104981
J. Cristian Salgado	97678
Michael Gruninger	151493
Patrizio Campisi	485
Peter M. Dew	23642
Fanman Meng	13239
Stefano Soatto	23704
Assem Kaylani	43527
David H. Shur	127733
Hajime Nishimura	41043
Volkan Sevindik	141027
Chia-Feng Lee	150618
Liu Peng	154065
Dian-Guo Xu	2088
Pascal Cheung-Mon-Chan	38438
Barbara Weber	147421
Joost J. J. van Durme	89511
Hayong Shin	6928
Douglas A. Reynolds	14914
Ferucio Laurentiu Tiplea	145156
Martin Felder	35355
Miquel Salicru	101082
Stephen M. George	142876
Lingbo Li	5678
Andy C. L. Yeung	52200
Renato Cerqueira	147084
José Manuel Benítez	41307
Masaharu Wada	60506
Howard L. Resnikoff	154497
Joseph Y. Hui	137050
Cristina Campos	147827
Franz Berthiller	91288
Pawel Wozny	10738
Rivka G. Ravid	87820
Michael Jackson	55209
Beth E. Kolko	74423
Doron Shoham	68243
Jinhui Liu	46692
Huachun Zhou	145399
Fabrizio Sellone	18619
Dongjun Chung	104609
Pirooz Vakili	105859
Le Xu	106485
Daniel Gatica-Perez	1215
Koby Crammer	34799
Farrokh Etezadi	134521
Yuanyuan Shen	100908
Wenmin Li	139365
Deian Stefan	144786
George Yeo	103537
Ralf Everaers	104069
M. Alper Selver	113519
Santo Motta	80660
Krishnan Rangarajan	47385
Jean-Denis Muller	69239
Shang-Hong Zhang	87731
Joydeep Chandra	129592
Gregory B. Titus	149454
Luke Matkins	126608
Patrick Deschavanne	91310
Jacques Martinerie	19602
Daniela Schmidt	42097
F. Perozo-Rondón	67059
Julian Randall	73944
Saburo Tsuji	33950
Philipp Berens	68533
Steve Scala	31043
Huifeng Wang	8856
Yuexian Zou	23015
Elza Erkip	13042
J. G. Liu	18954
José M. Sierra	142870
Joerg Seeburger	115524
Yu-Liang Chen	45229
Richard E. Schuler	51911
Tobias Meyer	106184
Vipul K. Gupta	30544
Kevin R. O'Neill	144961
Paulo Barthelmess	70104
A. Kurnosenko	10712
Claude Frasson	23539
David Gomez-Barquero	12947
Huaijun Qiu	47318
Panos Dafas	77249
Nasir M. Rajpoot	2522
Marek Teichmann	16415
Hao-Chuan Wang	71944
Wen-Jie Song	68053
Donal Heffernan	147285
T. John Koo	74986
Paul H. M. Lohman	94657
Mohammad Hossein Yaghmaee	143075
Stefano Suin	125843
Guomin Zhang	48353
Christian H. Busold	76703
Panos M. Pardalos	116819
Steven P. Nicoloso	159687
Matthew R. Hyde	36651
Neil M. Ferguson	103269
Ziyuan He	22021
Fabrice Jossinet	78939
Belén Vela	53498
Michael Heizmann	1340
Steve Rounsley	99132
Naren Ramakrishnan	82047
Guangzhi Zheng	149958
Georgios Kouroupetroglou	13396
Sophie Cockcroft	28295
Prasad Tadepalli	39108
William D. Smart	60738
Christopher C. Tan	157438
��ric Garcia	155815
Paul J. Layzell	36351
Pierre-Alain Fayolle	11176
Zhonghui Wang	110431
Dean N. Williams	161207
José-María Serrano	39272
Nives Skunca	101962
Dhruv Gupta	72952
Marco Anisetti	133833
Anika Gross	91448
Wai Chee Shiu	121794
Simon Taylor	34444
Boyd Fowler	25758
Hari K. Rajagopalan	52610
Zhen-Guo Xu	56611
Michele Tramonti	100654
Seth Cameron	67799
T. Shaman	135352
Eryi Zhang	46597
S. Hopfer	32071
Raquel Caballero-Águila	19004
Yeng-Horng Perng	53083
Meko M. C. So	48604
Judith Rosenhouse	14890
Bedrich Benes	24900
Aya Levi-Steiner	10879
Ioulia Grichkovtsova	16249
Michael J. Gallivan	30863
Thomas Stehling	17353
Grigoris Amoutzias	94419
Abdul Hasib	129338
Tiago Antao	84233
Akira Hashimoto	53997
Daniel Vallejo	108597
Louis Marinos	149044
Mohammed Al-Mulla	109993
Jakob Rehof	120187
Philippe Andrey	37819
Suresh Chari	117710
G. D. Wallace	7703
Wolf-Herman Fridman	86375
Atanu Sengupta	56583
Ben McCarthy	138214
Ben Smyth	145338
Malcolm C. Fields	7165
Pawel Dlotko	17836
Arthur S. Goldstein	119379
Larry D. Hostetler	42048
Cosmin Saveanu	83371
Irad Yavneh	68549
Said Ramdane	47367
Zhe Yang	124262
Xiongjun Wu	110420
Jianxiao Fan	110518
A. G. Smith	78168
Puneet Tandon	9180
Slim Kallel	151770
Béla Joós	106886
Rory B. B. Lucyshyn-Wright	120291
Victor Solo	2236
Richard L. Murphy	161494
Samina Ehsan	134458
Xiaolan Guo	14818
Xin Zhao	25275
R. G. Healey	31549
Paolo Benedusi	147688
James D. B. Nelson	4148
Christian Heath	70049
Anita Gupta	146934
Yoshio Sakurai	43923
Cesim Erten	88524
Urszula Dudziak	57665
JiaYong Yan	60613
Abdelhaleem Ashqar	147707
Yanchao Zhao	139674
Lin Hou	89305
Francis Schmitt	6913
Hilmar Linder	127621
Stephan C. Schürer	101027
Todd M. Carrozzi	135407
A. S. N. Reddy	81022
Eduardo Mizraji	42989
Flavio R. Dias Velasco	47987
J. Planta	79453
Aysegül Altin	119548
Mikhail A. Lomize	79874
F. Heinle	22687
Cesar García-Osorio	35334
Kazumasa Yamamoto	16358
Ronen Tal-Botzer	91477
Tobias Sikosek	106651
Jungpil Hahn	53055
Karl-Friedrich Böhringer	16554
Kenjiro Maginu	41039
Eric Tune	163914
Kevin Christiansen	152532
Peng Xue	134430
Hua Bao	86207
Erlend A. Nagelhus	102905
Jerome Harrington	145588
Michael Hauth	23584
Hyun Taek Sim	30054
Tarek M. Hamdani	69537
Olivier Collin	85157
Gokhan Gul	143305
Emmanuel Haven	56008
Fabrizio Durante	55790
Chao-Chun Chen	28542
Emad Guirguis	130169
Todd W. Schiller	66400
Hwang-Soo Lee	159516
Takashi Washio	27373
Massimiliano Todisco	20971
Aibin He	89404
Chi-Huang Liao	50658
Gokman Altay	132972
Ilona Murynets	145806
Jenny Forshed	99707
M. Biddoccu	28536
Linda Winkler	127454
Ali Nouri	39968
Wakako Ikeda-Ohtsubo	95497
M. Kurano	56988
Yanhong A. Liu	124251
Ming-fong Chen	47947
Zahia Guessoum	66676
Chad Garner	97202
Thilo Gross	83645
Manuel Pancorbo	58660
Kristina Georgoulakis	20074
Judith Klein	58405
Blazej Bulka	97976
Jeffrey R. Foerster	158679
Satish Mohan	42
Steve DiPaola	12018
Ren-Xiang Yan	98606
Sangwon Seo	164226
Romas Aleliunas	54087
Soomin Ko	133158
Hassan Khotanlou	57557
Naimin Li	114159
Hansol Choi	78146
Alan Conway	58478
Christopher Holmes	39379
Juraj Pivovarov	26614
N. Lakshminarasimman	140958
Lusheng Chen	123635
Devendra Jha	3510
Fushan Song	87805
Hossein Khoshbin	157518
Michele Fiorentino	9190
Zhiming Zhang	56875
Licheng Wang	109703
E. R. Grannan	68614
M. Tzivras	112038
Ricardo L. de Queiroz	914
Rolf Kassa	164254
Zhi-Quan Cheng	9846
Arman Ahnood	75317
Martin Howard	104670
Winston D. Goh	14796
Eric Fosler-Lussier	12005
William Gordon	104304
Kosaku Inagaki	46100
Antony Browne	41225
Josef Cibulka	17675
Andreas Reinhardt	150954
Gozde Bozdagi Akar	149
David Gatenby	51198
Andrea Visconti	57534
Maud Schlich	148683
Franca Delmastro	72663
Michael J. Knieser	163727
Mario Salerno	90412
Koldo Gojenola	70780
Marine Carpuat	58623
Konstantinos P. Papathanassiou	75649
Mike Slomczykowski	114336
Francesco Ginelli	106846
Roland Kwitt	4608
Wing-Kin Ma	132189
Ricardo M. A. Silva	141726
L. Chan	136308
Layne T. Watson	2167
Taeweon Suh	153988
M. Embiruçu	57435
Klaus Holthausen	68002
Jun Saiki	43351
Armando Manduca	2007
Zhouwang Yang	8955
Vahram Avagyan	8808
Jorge Díez	49811
F. Javier Luque	77822
P. Jean-Jacques Herings	117299
Jos�� A. De Don��	157726
Zvi Drezner	118568
T. J. N. Brown	120844
Diego Thomas	38750
Ilja Heitlager	155390
Yixiong Liang	46578
Eric L. Miller	329
Yumi Mizuno	96514
Jiemin Liu	12765
Martina Seidl	70650
David Melendi	129268
Dmitry Oleynikov	112842
John D. Lamb	59706
Zhe Song	109729
Hong Ju Park	158184
Luk Van Wassenhove	121589
H. T. Kiiveri	31548
Michiko Yamana	63534
Alexei E. Ashikhmin	132143
Thomas J. Cradick	100720
Garry Liu	115386
Barney P. Hilken	119928
Christiane Schallück	123965
Kevin P. Rosenblatt	85149
Thomas M. Phillips	137197
Manuel López-Coello	44150
William H. Warren Jr.	41788
J. Abrahams	25462
David Bangor	92551
Md. Sahidullah	16292
Kenji Yamanishi	39752
Jae Choong Han	159473
K. Fuse	116964
Helen Lampow-Maundy	159114
Helen Lew	30130
Sasha Rubin	124577
Keum-Shik Hong	39026
E. Chicurel-Uziel	10141
Heena V. Lad	78236
Jianping Zhou	3192
Britta Roll	160676
Andrés L. Medaglia	52821
Volker Jungnickel	134274
Robert T. Morris	85536
Ruy M. Ribeiro	99608
Jingyu Hu	131762
Heesun Shin	77779
Marisa Ruffolo	112739
Ren Ohmura	70042
Alejandro Troccoli	33780
G. Hofemann	161342
Elizabeth A. Hinkelman	54154
Hillel J. Chiel	68716
Divyesh Jadav	161770
Yan-Hao Lai	49777
Erik-Jan Rijkhorst	115417
Jane Shelton	58465
George R. Thoma	45857
Mohammad Zulhasnine	140069
Xavier Leroy	124415
Stephen J. Maybank	2066
Ratan Nalumasu	118211
Daniel Lohmann	154929
Xiaojiang S. Chen	104540
Blaine Nelson	39982
Blake C. Meyers	99483
Ralph Gasser	54203
Robert E. W. Hancock	76570
Subu Iyer	156211
D. A. Clifford	6600
Fahed Abdallah	62300
Gregory G. Finn	129871
Christel Baier	118414
François Lonchamp	15788
Robert Lawrence	99026
Umesh V. Vazirani	116629
Sylvie Philipp-Foliguet	38351
Jens-Peter Kaps	146231
P. G. Reddy	59718
Ajoy Kumar Datta	152817
Kwang-Myung Kim	8772
Ivar Farup	3871
Daoshan OuYang	8074
Kiran Lakhotia	150661
Sy-Ming Guu	55558
Quentin J. Harmer	7351
Giorgio De Caro	102062
Govind Hariharan	51349
Sergei V. Krivov	102188
Ertugrul Yilmaz	138761
T. W. P. Chow	112196
Geo Pertea	80769
Akinobu Shimizu	46053
Rachel M. Jones	31493
Matthew T. Harrison	68552
Georg Gartner	32619
Tzai-Wen Chiu	100471
K. Stangherlin	156942
Yun-Hao Sung	150879
Johannes Ritzke	36737
Matt D. B. Halstead	86642
Ahmad Zuri bin Sha'ameri	21816
Tsehaw Yong	8582
Qiang Qian	50463
Rob J. Kusters	152027
Alexander Nolte	70653
Klaus Fabian Côco	20268
Tsvi Achler	62801
Juan Tu	109885
Boon-Hee Soong	126793
Chaojie Li	66749
R. Frank Kooy	100050
Ali Sengul	108616
Judith M. Kessens	14010
Nils Arrigo	97188
Bertram R. Payne	63595
Rajeev Motwani	39593
Roy Edgar Hansen	19412
Marco A. Grivet Mattoso Maia	82044
Emiliano Bernués	18265
Françoise Clérin-Debart	54119
José Manuel Pardo	16218
Jongkyung Kim	132223
Fawaz Ahmad Masoud	137759
S. M. A. Becker	115548
Arno Holz	64840
Marjo Starrenburg	85764
Chao-Fa Chuang	45322
Xiaodong Zhuge	5956
Alain Fleury	94064
Asrar U. Sheikh	137633
V. Srinivasa Chakravarthy	44363
Brad T. Sherman	91815
Yuci Gou	131766
Avinash Sodani	163943
Junghyun Namkung	86196
Koichiro Tamura	79544
H. Altay Güvenir	39344
Lingzhi Cao	131990
Jaromy Kuhl	124187
Kay Nieselt	77402
Enrico Vezzetti	9556
Yogesh S. Mahajan	118462
Gabriele Piccoli	30946
Ramaswamy Chandrasekaran	118643
Shigeru Kiritani	15499
Yan-Bing Bai	9646
Jason Robarge	82891
Keith Kong	126619
Naoki Hanada	69757
Deok-Sun Lee	106094
Chih-Min Chiu	100856
Gregory Randall	3999
Jun Takamatsu	33760
Xin Geng	22150
Juha Knuuttila	70589
Fernando Arroyo	40701
Darong Lai	88778
Wongarnet Khantuwan	92052
Yulin Fang	29824
Qi-fen Xie	56730
Curtis Huttenhower	83029
Toshihiko Ishida	96028
Alister Lewis-Bowen	101752
Preeti Arunapuram	92429
Philippe Flajolet	16806
Ronald Lumia	33970
E. Francomano	161481
Denis Sheynikhovich	42868
Hans-Peter Klenk	101350
Svend Fr?lund	152867
Carsten Steger	39055
Jason G. Sikes	82144
Juliana M. Nascimento	91775
Frances M. Ashcroft	105588
Marcin S. Szczuka	64606
Ojaswa Sharma	25191
Juinn-Horng Deng	134253
Liora Strichman-Almashanu	98658
Jeffrey W. Tyner	92425
E. Kant	142068
B. L. Daniel	22996
Wang Yao	128887
Euisin Lee	139556
Wuncheol Jeong	158720
Michael Debenham	135356
Javier Ruiz-del-Solar	50490
S. Ali	54020
Giovanna Trianni	59127
David McQueen	153367
Roberto Marcondes Cesar Junior	46203
Barry Haddow	58566
Yan Gao	26356
Ge Wu	64411
Jason B. Forsyth	74727
Yaping Zhao	9637
Chaochun Wei	85415
Shiyao Jin	24449
Ela Claridge	60228
Greg Kochanski	13752
Jun Miura	38456
Genaro Rebolledo-Mendez	24812
Brian S. Yandell	83321
Habib Youssef	8626
Peter Krawitz	87390
Goedele Roos	105551
Friedel Hossfeld	161723
Eric J. M. Rignot	2662
Angela Arapoyanni	156989
Gianni Frattolillo	149947
Gérald Gavin	66225
Wonsun Ahn	164323
Marc Vinches	27708
Alexis J. Comber	28740
Larbi Alaoui	137807
Fanbo Deng	34746
Michele Volpe	143992
Toshiji Kuruma	38033
Philipp M. Altrock	103847
Saeed Tavazoie	103154
Michael Capalbo	102651
Jesung Ahn	26250
Niels Ferguson	146242
Yannan Chen	55072
Femke Hoogweg	121481
Trevor Bedford	103720
Kwan-Hee Yoo	6734
Ashwini Patil	93538
You-lun Xiong	50091
Yuan-Shin Lee	6960
Grzegorz Malewicz	121951
Laurent Jourdren	78960
Liang Liang	54938
Man-Faï Wong	133304
Jinhee Chun	17638
Habib Ammari	62316
Michael D. Wallace	71942
Mike Atia	156493
Mariana L. Neves	98847
Bing Zhu	57960
Samuel A. Danziger	103035
Jianliang Liu	12276
Amar Mukherjee	23665
Ray-Jade Chen	113269
Gaurav Pal	136553
Deborah J. Medeiros	7739
John Krumm	74170
Esra Ataer Cansizoglu	50724
Xavier Moreau	22806
Kei Saito	42444
P. K. Kankar	66752
Ilkyeun Ra	155989
Rodolfo Castelló	147805
Jung Ah Choi Lee	1835
Andreas Gerndt	153231
Steven Rubin	51743
Osamu Maruyama	76201
Sabine Cornelsen	123294
Sara Comai	125592
Harma A. Karsens	95996
Rajiv Govindarajan	152198
Zhongmin Liu	3141
Yueh-Yi Lai	24257
Marwan Abi-Antoun	149743
Ricardo M. L. Barros	37673
Sheng-Lin Chou	46577
Mélissa Georges	137608
Tadahide Izumi	93652
Bruno Lepri	13311
Antonio Molina	35007
Gregory J. McDermott	108459
Ana Pont	129532
Pan-liang Deng	110204
Joern M. Werner	104907
Albert C. S. Chung	3128
Patricia Hersh	16999
Igor V. Cadez	39146
Suresh Venkatasubramanian	27079
Mark A. Fleischer	119151
Nikos Kyrpides	79322
Jean Véronis	14784
I. K. Bousserhane	69413
Stefano Olivieri	19097
Chouki Tibermacine	150444
Chengshi Zhao	138697
Andrea Passerini	35240
Daniel C. Liebler	87420
Bradley Huffaker	126493
I. A. Eliseeva	89886
Fatemeh "Mariam" Zahedi	30190
Euler Guimarães Horta	95699
James Frew	33014
Shyh-Ming Chang	6916
Bruce van-Brunt	10568
Keith Ball	16496
Bruno Clerckx	132087
Yan Ding	86035
Shuyuan Jin	25308
Carmen J. Marsit	86567
Bashir M. Al-Hashimi	156463
Mathieu Moreau	105267
Christian Callegari	130244
Eric Rivals	26025
Ing-Long Wu	29642
Ardy van den Berg	156888
Katherine M. Shelfer	149182
Yongwei Cao	90546
Lin Chi	12912
Elizabeth K. Nelson	100410
Xian-Jin Xie	97011
Rafael Pass	124841
Wendy Filsell	90618
V. Valtchev	14623
Saleh O. Al-Jazzar	21484
Nathan Kupp	156947
M. Taromaru	130712
Timothy D. Griffiths	105851
Ann M. Richard	85987
Eduardo Magaña	126877
S. Olejnik	60113
S. D. Altekar	160731
Tim Wedge	144859
Evelyn H. Thrasher	53141
Malay K. Kundu	18159
Kwong-fai Chan	116704
Thomas W. Ferratt	29748
Gabriel A. Moreno	148440
John E. Laird	39420
Christian Fischer	131124
Sungho Suh	6340
Yunjiao Xue	27864
Selly Saini	96797
Leo Jacobs	105347
Saleh Al-Sharaeh	152370
Sekhar Duraisamy	97805
Elena López	21684
Ronna R. Mallios	99443
JungHoon Ha	52559
Mario Tanda	19336
Byung-Seok Roh	26770
Géraldine Morin	8004
Darby Tien-Hao Chang	91922
Maike Tech	81826
J. Lafuente	16698
Roger Piqueras Jover	134398
Atilla Baskurt	282
Antonio Mazzeo	135470
Jin-Yi Cai	117536
Anthony C. Boucouvalas	134311
Anne Kupczok	85871
Dries Harnie	74378
Ianus Keller	73540
L. Steven Johnson	99769
Gregory Francis	41576
Guocong Song	132022
Aleta M. Lapone	159502
Aleksander J. Owczarek	56196
Indra Baruah	32983
Putra Manggala	124165
Hussam Abu-Libdeh	155099
Robin D. Tillett	38114
Yi Da	62833
Ron Smith	52426
Sho-Chi Lee	11962
Sheng Chen	19541
Rob W. W. Hooft	89517
Tom Martin	74720
Daryl T. Lawton	59719
Ivan Howitt	132524
Raheel Nawaz	101161
Donghyeok An	130628
Abhinav Pathak	155174
David R. Wood	17068
Kerry W. Connell	141492
Mukesh Singhal	72559
Joel Solé	4583
David Rhind	32840
Thanh-Trung Nguyen	154012
Xufang Wang	132071
Jesse Gray	51197
Francesco Battaglia	68399
Anders Persson	157398
Béatrice Bérard	117949
Richard Vistnes	33890
Mohammad Shams Esfand Abadi	20324
Christopher Kiekintveld	54560
